country,programId,programName,fieldKey,fieldLabel,pillar,subFactor,status,classification,valueRawTrunc,sourceUrl,sourceTier,extractionConfidence,validationConfidence
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.1.2,Fast-track option availability and SLA,B,B.1,pending_review,POPULATED,none,,,0.000,0.850
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.1.3,Number of application steps,B,B.1,pending_review,POPULATED,4,,,0.700,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.1,Principal applicant fees (USD),B,B.2,pending_review,POPULATED,"$1,525",,,0.700,1.000
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.2,Per-dependant fees (USD),B,B.2,pending_review,POPULATED,$260,,,0.750,1.000
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.3,Employer-borne levies and skill charges (USD),B,B.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.2.4,"Mandatory non-government costs (agents, translation, medicals)",B,B.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.3.1,Online application availability,B,B.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.3.2,In-person / biometric requirement (count of visits),B,B.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,B.3.3,Appeal and refusal process clarity,B,B.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.1.1,Employer-sponsorship requirement,C,C.1,pending_review,POPULATED,not_required,,,0.800,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.1.2,Ability to switch employers (no re-application vs. re-application),C,C.1,pending_review,POPULATED,free_switching,,,0.700,0.990
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.1.3,Self-employment and secondary income rights,C,C.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.1.4,Labor market test requirement,C,C.1,pending_review,POPULATED,false,,,0.800,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.2.1,Spouse inclusion and work rights (automatic / by permit / none),C,C.2,pending_review,POPULATED,automatic_with_full_work_rights,,,0.400,0.990
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.2.2,Dependent child age cap and inclusion terms,C,C.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.2.3,Parent or extended family inclusion option,C,C.2,pending_review,POPULATED,false,,,0.400,0.150
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.2.4,Same-sex partner recognition,C,C.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.3.1,Public healthcare access,C,C.3,pending_review,POPULATED,full_access,,,0.500,0.920
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,C.3.2,Public education access for children,C,C.3,pending_review,POPULATED,full_access,,,0.000,0.990
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.1.1,PR provision available (yes / no),D,D.1,pending_review,POPULATED,true,,,0.980,0.150
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.1.2,Minimum years of residence to PR eligibility,D,D.1,pending_review,POPULATED,0,,,0.900,0.990
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.1.3,Physical presence requirement during accrual (days/yr),D,D.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.1.4,PR retention rules (days/yr to keep PR),D,D.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.2.1,Citizenship provision available from this track (yes / no),D,D.2,pending_review,POPULATED,true,,,0.750,0.950
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.2.2,Total minimum years from initial visa entry to citizenship eligibility,D,D.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.2.3,Dual citizenship permitted,D,D.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.2.4,Civic / language / integration test burden,D,D.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.3.1,Tax residency trigger (days/yr before worldwide tax applies),D,D.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.3.2,"Special regime available (non-dom, expat bonus, flat-rate)",D,D.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,D.3.3,Territorial vs. worldwide taxation for residents,D,D.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.1.1,"Material policy changes in last 5 years (count, weighted by severity)",E,E.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.1.2,Forward-announced pipeline changes (positive predictability signal),E,E.1,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.1.3,"Program age (years since introduction, capped at 20)",E,E.1,pending_review,POPULATED,20,,,0.700,0.990
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.2.1,Published approval rate or admission statistics,E,E.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.2.2,Published quota / cap information,E,E.2,pending_review,POPULATED,not_addressed,,,0.500,0.850
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.2.3,Public guidance and decision criteria documentation,E,E.2,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.3.1,Rule of law (V-Dem / World Bank WGI),E,E.3,,LLM_MISS,,,,,
CAN,0e2d340e-78ce-4813-8cd2-d914abcc5554,Express Entry – Federal Skilled Worker,E.3.2,Government effectiveness (World Bank WGI),E,E.3,approved,POPULATED,1.76,https://api.worldbank.org/v2/country/CA/indicator/GOV_WGI_GE.EST?format=json&mrv=1&source=3,1,1.000,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.1.1,Minimum salary threshold (USD-equivalent),A,A.1,approved,POPULATED,"SGD 3,300",https://www.mom.gov.sg/passes-and-permits/s-pass,1,0.950,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.1.2,Salary threshold as % of local median wage,A,A.1,,LLM_MISS,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.1.3,"Alternative qualification pathways (points, capital, patent)",A,A.1,pending_review,POPULATED,salary_only,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.800,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.2.1,Minimum educational requirement,A,A.2,approved,POPULATED,none,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.950,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.2.2,Minimum work experience (years),A,A.2,pending_review,POPULATED,0,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.800,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.2.3,Language proficiency requirement (level + acceptance list),A,A.2,pending_review,POPULATED,none,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.700,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.3.1,Occupation list constraint (open / restricted list / shortage list),A,A.3,pending_review,POPULATED,open,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.700,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.3.2,Annual quota presence and size,A,A.3,pending_review,POPULATED,quota_undisclosed,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.850,0.850
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,A.3.3,Applicant age cap,A,A.3,pending_review,POPULATED,999,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.700,0.990
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.1.1,Published SLA processing time (days),B,B.1,pending_review,POPULATED,14,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.500,0.990
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.1.2,Fast-track option availability and SLA,B,B.1,pending_review,POPULATED,none,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.300,0.850
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.1.3,Number of application steps,B,B.1,pending_review,POPULATED,4,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.450,0.990
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.2.1,Principal applicant fees (USD),B,B.2,pending_review,POPULATED,$100,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.500,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.2.2,Per-dependant fees (USD),B,B.2,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.2.3,Employer-borne levies and skill charges (USD),B,B.2,pending_review,POPULATED,monthly foreign worker levy,https://www.mom.gov.sg/passes-and-permits/s-pass/quota-and-levy,1,0.600,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.2.4,"Mandatory non-government costs (agents, translation, medicals)",B,B.2,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.3.1,Online application availability,B,B.3,pending_review,POPULATED,fully_online,https://www.mom.gov.sg/passes-and-permits/s-pass,1,0.600,0.980
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.3.2,In-person / biometric requirement (count of visits),B,B.3,pending_review,POPULATED,1,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.700,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,B.3.3,Appeal and refusal process clarity,B,B.3,pending_review,POPULATED,basic,https://www.mom.gov.sg/passes-and-permits/s-pass,1,0.550,0.990
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.1.1,Employer-sponsorship requirement,C,C.1,pending_review,POPULATED,required_throughout,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.950,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.1.2,Ability to switch employers (no re-application vs. re-application),C,C.1,approved,POPULATED,re_application,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.950,0.850
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.1.3,Self-employment and secondary income rights,C,C.1,pending_review,POPULATED,prohibited,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.400,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.1.4,Labor market test requirement,C,C.1,approved,POPULATED,true,https://www.mom.gov.sg/passes-and-permits/s-pass,1,0.850,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.2.1,Spouse inclusion and work rights (automatic / by permit / none),C,C.2,pending_review,POPULATED,by_permit_with_work_rights,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.500,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.2.2,Dependent child age cap and inclusion terms,C,C.2,approved,POPULATED,21,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.900,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.2.3,Parent or extended family inclusion option,C,C.2,pending_review,POPULATED,false,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.750,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.2.4,Same-sex partner recognition,C,C.2,pending_review,POPULATED,false,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.600,0.150
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.3.1,Public healthcare access,C,C.3,pending_review,POPULATED,insurance_required,,,0.700,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,C.3.2,Public education access for children,C,C.3,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.1.1,PR provision available (yes / no),D,D.1,pending_review,POPULATED,true,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.650,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.1.2,Minimum years of residence to PR eligibility,D,D.1,pending_review,POPULATED,0.5,,,0.750,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.1.3,Physical presence requirement during accrual (days/yr),D,D.1,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.1.4,PR retention rules (days/yr to keep PR),D,D.1,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.2.1,Citizenship provision available from this track (yes / no),D,D.2,pending_review,POPULATED,true,https://www.one-visa.com/singapore-visa-resources/singapore-s-pass/,2,0.800,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.2.2,Total minimum years from initial visa entry to citizenship eligibility,D,D.2,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.2.3,Dual citizenship permitted,D,D.2,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.2.4,Civic / language / integration test burden,D,D.2,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.3.1,Tax residency trigger (days/yr before worldwide tax applies),D,D.3,pending_review,POPULATED,183,https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-residency-and-tax-rates/individual-income-tax-rates,1,0.850,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.3.2,"Special regime available (non-dom, expat bonus, flat-rate)",D,D.3,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,D.3.3,Territorial vs. worldwide taxation for residents,D,D.3,pending_review,POPULATED,worldwide,https://www.iras.gov.sg/taxes/individual-income-tax/basics-of-individual-income-tax/tax-residency-and-tax-rates/individual-income-tax-rates,1,0.400,0.990
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.1.1,"Material policy changes in last 5 years (count, weighted by severity)",E,E.1,pending_review,POPULATED,5,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.550,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.1.2,Forward-announced pipeline changes (positive predictability signal),E,E.1,pending_review,POPULATED,true,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.950,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.1.3,"Program age (years since introduction, capped at 20)",E,E.1,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.2.1,Published approval rate or admission statistics,E,E.2,pending_review,POPULATED,false,https://www.mom.gov.sg/passes-and-permits/s-pass,1,0.800,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.2.2,Published quota / cap information,E,E.2,pending_review,POPULATED,exists_undisclosed,https://www.mom.gov.sg/passes-and-permits/s-pass/key-facts,1,0.850,0.950
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.2.3,Public guidance and decision criteria documentation,E,E.2,pending_review,POPULATED,basic,https://www.mom.gov.sg/passes-and-permits/s-pass/eligibility,1,0.650,1.000
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.3.1,Rule of law (V-Dem / World Bank WGI),E,E.3,,ABSENT,,,,,
SGP,b72e8153-6c3f-4c11-9a90-72cd7cc3c81d,S Pass,E.3.2,Government effectiveness (World Bank WGI),E,E.3,approved,POPULATED,2.28,https://api.worldbank.org/v2/country/SG/indicator/GOV_WGI_GE.EST?format=json&mrv=1&source=3,1,1.000,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.1.1,Minimum salary threshold (USD-equivalent),A,A.1,approved,POPULATED,"AUD 73,150",https://www.ahclawyers.com/news-articles/25/02/28/differences-between-specialist-skills-and-core-skills-stream-under-sc482-visa,2,0.980,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.1.2,Salary threshold as % of local median wage,A,A.1,,LLM_MISS,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.1.3,"Alternative qualification pathways (points, capital, patent)",A,A.1,pending_review,POPULATED,salary_only,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.700,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.2.1,Minimum educational requirement,A,A.2,pending_review,POPULATED,none,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.400,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.2.2,Minimum work experience (years),A,A.2,approved,POPULATED,1,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.950,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.2.3,Language proficiency requirement (level + acceptance list),A,A.2,pending_review,POPULATED,required,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482,1,0.500,0.850
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.3.1,Occupation list constraint (open / restricted list / shortage list),A,A.3,pending_review,POPULATED,broad_list,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.800,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.3.2,Annual quota presence and size,A,A.3,pending_review,POPULATED,no_quota,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.300,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,A.3.3,Applicant age cap,A,A.3,pending_review,POPULATED,999,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.300,0.990
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.1.1,Published SLA processing time (days),B,B.1,approved,POPULATED,21,https://www.ahclawyers.com/news-articles/25/02/28/differences-between-specialist-skills-and-core-skills-stream-under-sc482-visa,2,0.900,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.1.2,Fast-track option availability and SLA,B,B.1,pending_review,POPULATED,none,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.300,0.850
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.1.3,Number of application steps,B,B.1,pending_review,POPULATED,4,https://www.roammigrationlaw.com/corporate/immigration/skills-in-demand-visa-subclass-482/,2,0.800,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.2.1,Principal applicant fees (USD),B,B.2,approved,POPULATED,"AUD 3,115",https://www.ahclawyers.com/news-articles/25/02/28/differences-between-specialist-skills-and-core-skills-stream-under-sc482-visa,2,0.950,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.2.2,Per-dependant fees (USD),B,B.2,approved,POPULATED,"AUD 3,115",https://www.ahclawyers.com/news-articles/25/02/28/differences-between-specialist-skills-and-core-skills-stream-under-sc482-visa,2,0.850,1.000
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.2.3,Employer-borne levies and skill charges (USD),B,B.2,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.2.4,"Mandatory non-government costs (agents, translation, medicals)",B,B.2,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.3.1,Online application availability,B,B.3,pending_review,POPULATED,fully_online,https://www.roammigrationlaw.com/corporate/immigration/skills-in-demand-visa-subclass-482/,2,0.500,0.990
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.3.2,In-person / biometric requirement (count of visits),B,B.3,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,B.3.3,Appeal and refusal process clarity,B,B.3,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.1.1,Employer-sponsorship requirement,C,C.1,pending_review,POPULATED,required_throughout,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.900,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.1.2,Ability to switch employers (no re-application vs. re-application),C,C.1,pending_review,POPULATED,re_application,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.600,0.990
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.1.3,Self-employment and secondary income rights,C,C.1,pending_review,POPULATED,prohibited,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream,1,0.700,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.1.4,Labor market test requirement,C,C.1,pending_review,POPULATED,required,https://visaenvoy.com/skills-in-demand-visa/core-skills-pathway/,2,0.700,0.150
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.2.1,Spouse inclusion and work rights (automatic / by permit / none),C,C.2,pending_review,POPULATED,automatic_with_full_work_rights,https://www.ahclawyers.com/news-articles/25/02/28/differences-between-specialist-skills-and-core-skills-stream-under-sc482-visa,2,0.400,0.980
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.2.2,Dependent child age cap and inclusion terms,C,C.2,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.2.3,Parent or extended family inclusion option,C,C.2,pending_review,POPULATED,not stated,,,0.200,0.950
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.2.4,Same-sex partner recognition,C,C.2,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.3.1,Public healthcare access,C,C.3,,ABSENT,,,,,
AUS,e1687f65-5959-469a-8615-d99ed20bac1b,Skills in Demand 482 – Core Skills Stream,C.3.2,Public education access for children,C,C.3,,ABSENT,,,,,
